Price,Demand,Criticality,CSL,Fill rate,Fixed costs,Holding costs,Marginal costs,Total costs (no marginal),Total costs,Counts
3,2,4,0.3644133644133644,0.2872194660996929,864.0,1308.0833333333333,32650.099999999988,2172.083333333333,34822.18333333332,3
4,-1,1,1.0,1.0,1188.0,354690.22083333344,137699.6,355878.22083333344,493577.8208333334,42
4,-1,2,1.0,1.0,2736.0,856334.2083333326,391208.4000000001,859070.2083333326,1250278.6083333327,118
4,-1,3,1.0,1.0,288.0,87123.25208333333,52144.99999999999,87411.25208333333,139556.25208333333,13
4,-1,4,1.0,1.0,2628.0,385111.13958333334,419979.6999999997,387739.13958333334,807718.8395833331,49
4,0,1,1.0,1.0,2988.0,178596.99583333338,367788.0,181584.99583333338,549372.9958333333,32
4,0,2,1.0,0.9966777408637875,4356.0,174585.07291666666,435721.40000000026,178941.07291666666,614662.4729166669,43
4,0,3,1.0,1.0,792.0,44794.76041666667,92163.6,45586.76041666667,137750.36041666666,9
4,0,4,1.0,0.996825396825397,5436.0,279450.6833333333,660211.9,284886.6833333333,945098.5833333333,45
4,1,1,0.7517526455026455,0.9394510582010582,2664.0,255641.4458333335,549119.8999999998,258305.4458333335,807425.3458333333,36
4,1,2,0.8411840411840412,0.9465016965016967,3600.0,267191.52499999997,761162.0999999997,270791.52499999997,1031953.6249999998,37
4,1,3,0.9633333333333335,1.0,1116.0,78337.94791666666,147511.60000000003,79453.94791666666,226965.5479166667,10
4,1,4,0.6252688172043012,0.8930491551459295,3096.0,110013.5875,636886.5000000003,113109.5875,749996.0875000004,31
